dataset_type,user_id,full_name,username,role,department,access_level,timestamp,date,ip_address,login_time,session_duration_minutes,command_type,resource_accessed,privilege_level,event_frequency
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:25:00,2026-04-01,192.168.1.10,08:25:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:35:00,2026-04-01,192.168.1.10,08:25:00,60,cat /var/log/auth.log,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:45:00,2026-04-01,192.168.1.10,08:25:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:55:00,2026-04-01,192.168.1.10,08:25:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 09:05:00,2026-04-01,192.168.1.10,08:25:00,60,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 09:15:00,2026-04-01,192.168.1.10,08:25:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:02:00,2026-04-01,192.168.1.10,14:02:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:07:00,2026-04-01,192.168.1.10,14:02:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:12:00,2026-04-01,192.168.1.10,14:02:00,30,apt upgrade,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:17:00,2026-04-01,192.168.1.10,14:02:00,30,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:22:00,2026-04-01,192.168.1.10,14:02:00,30,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:27:00,2026-04-01,192.168.1.10,14:02:00,30,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:34:00,2026-04-02,192.168.1.10,08:34:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:44:00,2026-04-02,192.168.1.10,08:34:00,60,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:54:00,2026-04-02,192.168.1.10,08:34:00,60,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:04:00,2026-04-02,192.168.1.10,08:34:00,60,top,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:14:00,2026-04-02,192.168.1.10,08:34:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:24:00,2026-04-02,192.168.1.10,08:34:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:00:00,2026-04-02,192.168.1.10,14:00:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:05:00,2026-04-02,192.168.1.10,14:00:00,30,apt upgrade,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:10:00,2026-04-02,192.168.1.10,14:00:00,30,top,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:15:00,2026-04-02,192.168.1.10,14:00:00,30,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:20:00,2026-04-02,192.168.1.10,14:00:00,30,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 14:25:00,2026-04-02,192.168.1.10,14:00:00,30,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 08:34:00,2026-04-03,192.168.1.10,08:34:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 08:44:00,2026-04-03,192.168.1.10,08:34:00,60,htop,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 08:54:00,2026-04-03,192.168.1.10,08:34:00,60,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 09:04:00,2026-04-03,192.168.1.10,08:34:00,60,cat /var/log/auth.log,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 09:14:00,2026-04-03,192.168.1.10,08:34:00,60,top,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 09:24:00,2026-04-03,192.168.1.10,08:34:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 13:57:00,2026-04-03,192.168.1.10,13:57:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 14:02:00,2026-04-03,192.168.1.10,13:57:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 14:07:00,2026-04-03,192.168.1.10,13:57:00,30,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 14:12:00,2026-04-03,192.168.1.10,13:57:00,30,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 14:17:00,2026-04-03,192.168.1.10,13:57:00,30,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-03 14:22:00,2026-04-03,192.168.1.10,13:57:00,30,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 08:27:00,2026-04-04,192.168.1.10,08:27:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 08:37:00,2026-04-04,192.168.1.10,08:27:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 08:47:00,2026-04-04,192.168.1.10,08:27:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 08:57:00,2026-04-04,192.168.1.10,08:27:00,60,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 09:07:00,2026-04-04,192.168.1.10,08:27:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-04 09:17:00,2026-04-04,192.168.1.10,08:27:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 08:26:00,2026-04-05,192.168.1.10,08:26:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 08:36:00,2026-04-05,192.168.1.10,08:26:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 08:46:00,2026-04-05,192.168.1.10,08:26:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 08:56:00,2026-04-05,192.168.1.10,08:26:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 09:06:00,2026-04-05,192.168.1.10,08:26:00,60,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-05 09:16:00,2026-04-05,192.168.1.10,08:26:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 08:28:00,2026-04-06,192.168.1.10,08:28:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 08:38:00,2026-04-06,192.168.1.10,08:28:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 08:48:00,2026-04-06,192.168.1.10,08:28:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 08:58:00,2026-04-06,192.168.1.10,08:28:00,60,top,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 09:08:00,2026-04-06,192.168.1.10,08:28:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 09:18:00,2026-04-06,192.168.1.10,08:28:00,60,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-06 13:59:00,2026-04-06,192.168.1.10,13:59:00,30,login,logs,3,6
