dataset_type,user_id,full_name,username,role,department,access_level,timestamp,date,ip_address,login_time,session_duration_minutes,command_type,resource_accessed,privilege_level,event_frequency
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 09:03:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 10:01:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 10:59:00,2026-04-01,192.168.1.30,09:03:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 11:57:00,2026-04-01,192.168.1.30,09:03:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 12:55:00,2026-04-01,192.168.1.30,09:03:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 13:53:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 14:51:00,2026-04-01,192.168.1.30,09:03:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 15:49:00,2026-04-01,192.168.1.30,09:03:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 09:07:00,2026-04-02,192.168.1.30,09:07:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 10:05:00,2026-04-02,192.168.1.30,09:07:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 11:03:00,2026-04-02,192.168.1.30,09:07:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 12:01:00,2026-04-02,192.168.1.30,09:07:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 12:59:00,2026-04-02,192.168.1.30,09:07:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 13:57:00,2026-04-02,192.168.1.30,09:07:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 14:55:00,2026-04-02,192.168.1.30,09:07:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 15:53:00,2026-04-02,192.168.1.30,09:07:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 09:00:00,2026-04-03,192.168.1.30,09:00:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 09:58:00,2026-04-03,192.168.1.30,09:00:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 10:56:00,2026-04-03,192.168.1.30,09:00:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 11:54:00,2026-04-03,192.168.1.30,09:00:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 12:52:00,2026-04-03,192.168.1.30,09:00:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 13:50:00,2026-04-03,192.168.1.30,09:00:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 14:48:00,2026-04-03,192.168.1.30,09:00:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-03 15:46:00,2026-04-03,192.168.1.30,09:00:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 09:05:00,2026-04-04,192.168.1.30,09:05:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 10:03:00,2026-04-04,192.168.1.30,09:05:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 11:01:00,2026-04-04,192.168.1.30,09:05:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 11:59:00,2026-04-04,192.168.1.30,09:05:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 12:57:00,2026-04-04,192.168.1.30,09:05:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 13:55:00,2026-04-04,192.168.1.30,09:05:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 14:53:00,2026-04-04,192.168.1.30,09:05:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-04 15:51:00,2026-04-04,192.168.1.30,09:05:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 09:05:00,2026-04-05,192.168.1.30,09:05:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 10:03:00,2026-04-05,192.168.1.30,09:05:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 11:01:00,2026-04-05,192.168.1.30,09:05:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 11:59:00,2026-04-05,192.168.1.30,09:05:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 12:57:00,2026-04-05,192.168.1.30,09:05:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 13:55:00,2026-04-05,192.168.1.30,09:05:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 14:53:00,2026-04-05,192.168.1.30,09:05:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-05 15:51:00,2026-04-05,192.168.1.30,09:05:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 09:09:00,2026-04-06,192.168.1.30,09:09:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 10:07:00,2026-04-06,192.168.1.30,09:09:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 11:05:00,2026-04-06,192.168.1.30,09:09:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 12:03:00,2026-04-06,192.168.1.30,09:09:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 13:01:00,2026-04-06,192.168.1.30,09:09:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 13:59:00,2026-04-06,192.168.1.30,09:09:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 14:57:00,2026-04-06,192.168.1.30,09:09:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-06 15:55:00,2026-04-06,192.168.1.30,09:09:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 09:00:00,2026-04-07,192.168.1.30,09:00:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 09:58:00,2026-04-07,192.168.1.30,09:00:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 10:56:00,2026-04-07,192.168.1.30,09:00:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 11:54:00,2026-04-07,192.168.1.30,09:00:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 12:52:00,2026-04-07,192.168.1.30,09:00:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 13:50:00,2026-04-07,192.168.1.30,09:00:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 14:48:00,2026-04-07,192.168.1.30,09:00:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-07 15:46:00,2026-04-07,192.168.1.30,09:00:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 09:02:00,2026-04-08,192.168.1.30,09:02:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 10:00:00,2026-04-08,192.168.1.30,09:02:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 10:58:00,2026-04-08,192.168.1.30,09:02:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 11:56:00,2026-04-08,192.168.1.30,09:02:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 12:54:00,2026-04-08,192.168.1.30,09:02:00,470,edit file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 13:52:00,2026-04-08,192.168.1.30,09:02:00,470,open file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 14:50:00,2026-04-08,192.168.1.30,09:02:00,470,cd /home/jwalker/docs,system,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-08 15:48:00,2026-04-08,192.168.1.30,09:02:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-09 09:04:00,2026-04-09,192.168.1.30,09:04:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-09 10:02:00,2026-04-09,192.168.1.30,09:04:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-09 11:00:00,2026-04-09,192.168.1.30,09:04:00,470,login,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-09 11:58:00,2026-04-09,192.168.1.30,09:04:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-09 12:56:00,2026-04-09,192.168.1.30,09:04:00,470,save file,documents,1,8
