dataset_type,user_id,full_name,username,role,department,access_level,timestamp,date,ip_address,login_time,session_duration_minutes,command_type,resource_accessed,privilege_level,event_frequency
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:17:00,2026-04-01,192.168.1.20,09:17:00,75,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:27:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:37:00,2026-04-01,192.168.1.20,09:17:00,75,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:47:00,2026-04-01,192.168.1.20,09:17:00,75,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:57:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 10:07:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 10:17:00,2026-04-01,192.168.1.20,09:17:00,75,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 12:57:00,2026-04-01,192.168.1.20,12:57:00,60,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:05:00,2026-04-01,192.168.1.20,12:57:00,60,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:13:00,2026-04-01,192.168.1.20,12:57:00,60,open dashboard,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:21:00,2026-04-01,192.168.1.20,12:57:00,60,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:29:00,2026-04-01,192.168.1.20,12:57:00,60,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:37:00,2026-04-01,192.168.1.20,12:57:00,60,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:45:00,2026-04-01,192.168.1.20,12:57:00,60,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 15:59:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:04:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:09:00,2026-04-01,192.168.1.20,15:59:00,35,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:14:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:19:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:24:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:29:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:18:00,2026-04-02,192.168.1.20,09:18:00,75,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:28:00,2026-04-02,192.168.1.20,09:18:00,75,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:38:00,2026-04-02,192.168.1.20,09:18:00,75,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:48:00,2026-04-02,192.168.1.20,09:18:00,75,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:58:00,2026-04-02,192.168.1.20,09:18:00,75,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 10:08:00,2026-04-02,192.168.1.20,09:18:00,75,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 10:18:00,2026-04-02,192.168.1.20,09:18:00,75,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 13:00:00,2026-04-02,192.168.1.20,13:00:00,60,login,logs,2,7
