dataset_type,user_id,full_name,username,role,department,access_level,timestamp,date,ip_address,login_time,session_duration_minutes,command_type,resource_accessed,privilege_level,event_frequency
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:25:00,2026-04-01,192.168.1.10,08:25:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:35:00,2026-04-01,192.168.1.10,08:25:00,60,cat /var/log/auth.log,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:45:00,2026-04-01,192.168.1.10,08:25:00,60,apt update,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 08:55:00,2026-04-01,192.168.1.10,08:25:00,60,apt update,system,3,6
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 09:03:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 09:05:00,2026-04-01,192.168.1.10,08:25:00,60,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 09:15:00,2026-04-01,192.168.1.10,08:25:00,60,logout,logs,3,6
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:17:00,2026-04-01,192.168.1.20,09:17:00,75,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:27:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:37:00,2026-04-01,192.168.1.20,09:17:00,75,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:47:00,2026-04-01,192.168.1.20,09:17:00,75,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 09:57:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 10:01:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 10:07:00,2026-04-01,192.168.1.20,09:17:00,75,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 10:17:00,2026-04-01,192.168.1.20,09:17:00,75,logout,logs,2,7
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 10:59:00,2026-04-01,192.168.1.30,09:03:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 11:57:00,2026-04-01,192.168.1.30,09:03:00,470,save file,documents,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 12:55:00,2026-04-01,192.168.1.30,09:03:00,470,open file,documents,1,8
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 12:57:00,2026-04-01,192.168.1.20,12:57:00,60,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:05:00,2026-04-01,192.168.1.20,12:57:00,60,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:13:00,2026-04-01,192.168.1.20,12:57:00,60,open dashboard,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:21:00,2026-04-01,192.168.1.20,12:57:00,60,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:29:00,2026-04-01,192.168.1.20,12:57:00,60,export report,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:37:00,2026-04-01,192.168.1.20,12:57:00,60,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 13:45:00,2026-04-01,192.168.1.20,12:57:00,60,logout,logs,2,7
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 13:53:00,2026-04-01,192.168.1.30,09:03:00,470,login,logs,1,8
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:02:00,2026-04-01,192.168.1.10,14:02:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:07:00,2026-04-01,192.168.1.10,14:02:00,30,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:12:00,2026-04-01,192.168.1.10,14:02:00,30,apt upgrade,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:17:00,2026-04-01,192.168.1.10,14:02:00,30,logout,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:22:00,2026-04-01,192.168.1.10,14:02:00,30,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-01 14:27:00,2026-04-01,192.168.1.10,14:02:00,30,logout,logs,3,6
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 14:51:00,2026-04-01,192.168.1.30,09:03:00,470,logout,logs,1,8
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-01 15:49:00,2026-04-01,192.168.1.30,09:03:00,470,logout,logs,1,8
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 15:59:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:04:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:09:00,2026-04-01,192.168.1.20,15:59:00,35,python3 analysis.py,system,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:14:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:19:00,2026-04-01,192.168.1.20,15:59:00,35,login,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:24:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-01 16:29:00,2026-04-01,192.168.1.20,15:59:00,35,logout,logs,2,7
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:34:00,2026-04-02,192.168.1.10,08:34:00,60,login,logs,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:44:00,2026-04-02,192.168.1.10,08:34:00,60,systemctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 08:54:00,2026-04-02,192.168.1.10,08:34:00,60,journalctl,system,3,6
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:04:00,2026-04-02,192.168.1.10,08:34:00,60,top,system,3,6
normal,3,James Walker,jwalker,Business Operations Associate,Operations,Standard User,2026-04-02 09:07:00,2026-04-02,192.168.1.30,09:07:00,470,login,logs,1,8
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:14:00,2026-04-02,192.168.1.10,08:34:00,60,apt update,system,3,6
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:18:00,2026-04-02,192.168.1.20,09:18:00,75,login,logs,2,7
normal,1,Daniel Carter,dcarter,Senior Systems Administrator,IT Infrastructure,Root / sudo,2026-04-02 09:24:00,2026-04-02,192.168.1.10,08:34:00,60,logout,logs,3,6
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:28:00,2026-04-02,192.168.1.20,09:18:00,75,logout,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:38:00,2026-04-02,192.168.1.20,09:18:00,75,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:48:00,2026-04-02,192.168.1.20,09:18:00,75,cat /var/log/syslog,logs,2,7
normal,2,Sarah Ahmed,sahmed,Cybersecurity Analyst,Security Operations (SOC),Read + Monitoring Tools,2026-04-02 09:58:00,2026-04-02,192.168.1.20,09:18:00,75,logout,logs,2,7
